record_kind,decision_id,unit_id,segment_id,target_path,target_line,target_excerpt,reader_artifact,reader_anchor,anchor_distance_lines,reader_status
terminology,GU-T199,OLP-0208,OLP-0208-B004,gu/content/computability/computability.tex,7,\olpart{cmp}{સંગણનીયતા},reader/computability-theory.html,સગણનયત,,verified_html_heading_anchor
terminology,GU-T199,OLP-0210,OLP-0210-B005,gu/content/computability/recursive-functions/introduction.tex,12,"સંગણનીયતાનો ગણિતીય સિદ્ધાંત વિકસાવવા માટે સૌપ્રથમ સંગણનીયતાનું એક \emph{નિદર્શ} ઘડવું પડે. આજે આપણે સંગણનીયતાને કમ્પ્યુટર જે કામ કરે છે તેના પ્રકાર તરીકે સમજીએ છીએ, અને કમ્પ્યુટર પ",reader/computability-theory.html,cmp:rec:int:sec,11,verified_html_anchor_near_target_line
terminology,GU-T199,OLP-0210,OLP-0210-B006,gu/content/computability/recursive-functions/introduction.tex,27,"સંગણનીય વિધેયો ઉપરાંત સંગણનીય ગણો અને સંબંધોમાં પણ આપણને રસ હોઈ શકે. આપેલી સંખ્યા ગણનો !!a{element} છે કે નહીં, તેનો જવાબ સંગણનથી મેળવી શકાય તો તે ગણ સંગણનીય છે. તેવી જ રીતે, $\tup",reader/computability-theory.html,cmp:rec:int:sec,26,verified_html_anchor_near_target_line
terminology,GU-T199,OLP-0210,OLP-0210-B007,gu/content/computability/recursive-functions/introduction.tex,36,"તેમ છતાં, આદિમ પુનરાવર્તી વિધેયો---માત્ર આદિમ પુનરાવર્તનથી વ્યાખ્યાયિત થતાં વિધેયો---જ બધા સંગણનીય સંખ્યા-સિદ્ધાંતના વિધેયો નથી. આદિમ પુનરાવર્તનના અનેક સામાન્યકરણો વિચારવામાં આવ્યા",reader/computability-theory.html,cmp:rec:int:sec,35,verified_html_anchor_near_target_line
terminology,GU-T200,OLP-0209,OLP-0209-B004,gu/content/computability/recursive-functions/recursive-functions.tex,8,\olchapter{cmp}{rec}{પુનરાવર્તી વિધેયો},reader/computability-theory.html,પનરવરત-વધય,,verified_html_heading_anchor
terminology,GU-T200,OLP-0210,OLP-0210-B005,gu/content/computability/recursive-functions/introduction.tex,12,"સંગણનીયતાનો ગણિતીય સિદ્ધાંત વિકસાવવા માટે સૌપ્રથમ સંગણનીયતાનું એક \emph{નિદર્શ} ઘડવું પડે. આજે આપણે સંગણનીયતાને કમ્પ્યુટર જે કામ કરે છે તેના પ્રકાર તરીકે સમજીએ છીએ, અને કમ્પ્યુટર પ",reader/computability-theory.html,cmp:rec:int:sec,11,verified_html_anchor_near_target_line
terminology,GU-T200,OLP-0211,OLP-0211-B004,gu/content/computability/recursive-functions/primitive-recursion.tex,9,\olfileid{cmp}{rec}{pre} \olsection{આદિમ પુનરાવર્તન},reader/computability-theory.html,cmp:rec:pre:sec,8,verified_html_anchor_near_target_line
terminology,GU-T200,OLP-0211,OLP-0211-B005,gu/content/computability/recursive-functions/primitive-recursion.tex,12,પ્રાકૃતિક સંખ્યાઓની એક ખાસિયત એ છે કે $0$થી શરૂ કરીને ઉત્તરગામી ક્રિયા~$+1$ સાન્ત વખત કરતાં દરેક પ્રાકૃતિક સંખ્યા સુધી પહોંચી શકાય છે---દરેક પ્રાકૃતિક સંખ્યા કાં તો~$0$ છે અથવા~$0$,reader/computability-theory.html,cmp:rec:pre:sec,11,verified_html_anchor_near_target_line
terminology,GU-T200,OLP-0211,OLP-0211-B007,gu/content/computability/recursive-functions/primitive-recursion.tex,47,પ્રાકૃતિક સંખ્યાઓની ઉપર જણાવેલી ખાસિયત ખાતરી આપે છે કે આ બે શરતો પૂરી કરતું $h$ વિધેય એક જ છે. આવા બે સમીકરણોની જોડીને $h$ની \emph{આદિમ પુનરાવર્તન દ્વારા વ્યાખ્યા} કહે છે. આ રીતે $,reader/computability-theory.html,cmp:rec:pre:sec,46,verified_html_anchor_near_target_line
terminology,GU-T200,OLP-0211,OLP-0211-B010,gu/content/computability/recursive-functions/primitive-recursion.tex,101,"સામાન્ય માળખું આ પ્રમાણે છે. $h(x_0, \dots, x_{k-1}, y)$ની આદિમ પુનરાવર્તી વ્યાખ્યા આપવા બે સમીકરણો જોઈએ. પહેલું સમીકરણ~$h$નો ઉલ્લેખ કર્યા વિના $h(x_0, \dots, x_{k-1}, 0)$નું મૂલ્ય",reader/computability-theory.html,cmp:rec:pre:sec,100,verified_html_anchor_near_target_line
