record_kind,decision_id,unit_id,segment_id,target_path,target_line,target_excerpt,reader_artifact,reader_anchor,reader_status
terminology,GU-T225,OLP-0252,OLP-0252-B004,gu/content/turing-machines/turing-machines.tex,7,\olpart{tur}{ટ્યુરિંગ મશીનો},reader/turing-machines.html,ટયરગ-મશન,verified_html_section_anchor_near_exact_source_segment
terminology,GU-T225,OLP-0254,OLP-0254-B005,gu/content/turing-machines/machines-computations/introduction.tex,12,"ઉદાહરણ તરીકે $\Nat$થી $\Nat$માં જતું કોઈ વિધેય \emph{સંગણનીય} હોવાનો અર્થ શું? શરૂઆતના જવાબોમાંનો એક, અને સૌથી જાણીતો જવાબ, એ છે કે કોઈ વિધેય ટ્યુરિંગ મશીન વડે ગણી શકાય તો તે સંગણનીય છે. એલન ટ્યુરિંગે",reader/turing-machines.html,tur:mac:int:sec,verified_html_section_anchor_near_exact_source_segment
terminology,GU-T225,OLP-0255,OLP-0255-B005,gu/content/turing-machines/machines-computations/representing-tms.tex,12,\begin{explain} ટ્યુરિંગ મશીનોને \emph{અવસ્થા-આલેખો} વડે ચિત્રરૂપે દર્શાવી શકાય છે. આવા આલેખોમાં તીરોથી જોડાયેલાં અવસ્થાનાં ખાનાં હોય છે. દરેક અવસ્થાનું ખાનું મશીનની એક અવસ્થા દર્શાવે છે. દરેક તીર તે ,reader/turing-machines.html,tur:mac:rep:sec,verified_html_section_anchor_near_exact_source_segment
terminology,GU-T225,OLP-0256,OLP-0256-B004,gu/content/turing-machines/machines-computations/turing-machines.tex,9,\olfileid{tur}{mac}{tur} \olsection{ટ્યુરિંગ મશીનો},reader/turing-machines.html,tur:mac:tur:sec,verified_html_section_anchor_near_exact_source_segment
terminology,GU-T226,OLP-0254,OLP-0254-B006,gu/content/turing-machines/machines-computations/introduction.tex,28,\begin{explain} ટ્યુરિંગ મશીનને કોઈ વિશિષ્ટ પ્રકારના કલ્પિત ઉપકરણના પ્રોગ્રામ તરીકે સમજવું કદાચ સૌથી યોગ્ય છે. આ ઉપકરણમાં એક \emph{ટેપ} અને એક \emph{વાંચન-લેખન હેડ} હોય છે. ટ્યુરિંગ મશીનની આપણી આવૃત્ત,reader/turing-machines.html,tur:mac:int:sec,verified_html_section_anchor_near_exact_source_segment
terminology,GU-T226,OLP-0255,OLP-0255-B005,gu/content/turing-machines/machines-computations/representing-tms.tex,12,\begin{explain} ટ્યુરિંગ મશીનોને \emph{અવસ્થા-આલેખો} વડે ચિત્રરૂપે દર્શાવી શકાય છે. આવા આલેખોમાં તીરોથી જોડાયેલાં અવસ્થાનાં ખાનાં હોય છે. દરેક અવસ્થાનું ખાનું મશીનની એક અવસ્થા દર્શાવે છે. દરેક તીર તે ,reader/turing-machines.html,tur:mac:rep:sec,verified_html_section_anchor_near_exact_source_segment
terminology,GU-T226,OLP-0255,OLP-0255-B007,gu/content/turing-machines/machines-computations/representing-tms.tex,28,\path (A) edge node {\TMtrans{\TMblank}{\TMstroke}{\TMright}} (B); \end{tikzpicture} \] યાદ કરો કે ટ્યુરિંગ મશીન પાસે વાંચન-લેખન હેડ અને તેના પર ઇનપુટ લખેલી ટેપ હોય છે. આ સૂચનાનો અર્થ છે: \emph{અવસ્થા,reader/turing-machines.html,tur:mac:rep:sec,verified_html_section_anchor_near_exact_source_segment
terminology,GU-T227,OLP-0254,OLP-0254-B006,gu/content/turing-machines/machines-computations/introduction.tex,28,\begin{explain} ટ્યુરિંગ મશીનને કોઈ વિશિષ્ટ પ્રકારના કલ્પિત ઉપકરણના પ્રોગ્રામ તરીકે સમજવું કદાચ સૌથી યોગ્ય છે. આ ઉપકરણમાં એક \emph{ટેપ} અને એક \emph{વાંચન-લેખન હેડ} હોય છે. ટ્યુરિંગ મશીનની આપણી આવૃત્ત,reader/turing-machines.html,tur:mac:int:sec,verified_html_section_anchor_near_exact_source_segment
terminology,GU-T227,OLP-0254,OLP-0254-B008,gu/content/turing-machines/machines-computations/introduction.tex,73,"મશીન કોઈ અવસ્થા~$q_n$ અને પ્રતીક~$\sigma$ની એવી જોડી પાસે પહોંચે કે જેના માટે $\tuple{q_n, \sigma}$ને અનુરૂપ કોઈ સૂચના ન હોય---એટલે ઇનપુટ $\tuple{q_n,\sigma}$ પર સંક્રમણ વિધેય અવ્યાખ્યાયિત હોય--- ત્યા",reader/turing-machines.html,tur:mac:int:sec,verified_html_section_anchor_near_exact_source_segment
terminology,GU-T227,OLP-0255,OLP-0255-B005,gu/content/turing-machines/machines-computations/representing-tms.tex,12,\begin{explain} ટ્યુરિંગ મશીનોને \emph{અવસ્થા-આલેખો} વડે ચિત્રરૂપે દર્શાવી શકાય છે. આવા આલેખોમાં તીરોથી જોડાયેલાં અવસ્થાનાં ખાનાં હોય છે. દરેક અવસ્થાનું ખાનું મશીનની એક અવસ્થા દર્શાવે છે. દરેક તીર તે ,reader/turing-machines.html,tur:mac:rep:sec,verified_html_section_anchor_near_exact_source_segment
terminology,GU-T227,OLP-0255,OLP-0255-B007,gu/content/turing-machines/machines-computations/representing-tms.tex,28,\path (A) edge node {\TMtrans{\TMblank}{\TMstroke}{\TMright}} (B); \end{tikzpicture} \] યાદ કરો કે ટ્યુરિંગ મશીન પાસે વાંચન-લેખન હેડ અને તેના પર ઇનપુટ લખેલી ટેપ હોય છે. આ સૂચનાનો અર્થ છે: \emph{અવસ્થા,reader/turing-machines.html,tur:mac:rep:sec,verified_html_section_anchor_near_exact_source_segment
terminology,GU-T227,OLP-0255,OLP-0255-B011,gu/content/turing-machines/machines-computations/representing-tms.tex,57,"આ અવસ્થા-આલેખને નીચેનું સંક્રમણ વિધેય અનુરૂપ છે: \begin{align*} \delta(q_0, \TMstroke) & = \tuple{q_1, \TMstroke, \TMright},\\ \delta(q_1, \TMstroke) & = \tuple{q_0, \TMstroke, \TMright},\\ \delta(q_1",reader/turing-machines.html,tur:mac:rep:sec,verified_html_section_anchor_near_exact_source_segment
terminology,GU-T227,OLP-0256,OLP-0256-B006,gu/content/turing-machines/machines-computations/turing-machines.tex,21,"\begin{defn}[ટ્યુરિંગ મશીન] \emph{ટ્યુરિંગ મશીન} $M$ એ નીચેની વસ્તુઓનું બનેલું ચતુષ્ટય $\langle Q, \Sigma, q_0, \delta\rangle$ છે: \begin{enumerate} \item \emph{અવસ્થાઓ}નો સાન્ત ગણ~$Q$, \item $\TMendt",reader/turing-machines.html,tur:mac:tur:sec,verified_html_section_anchor_near_exact_source_segment
terminology,GU-T227,OLP-0257,OLP-0257-B010,gu/content/turing-machines/machines-computations/configuration.tex,77,"\begin{defn} અપણે કહીએ છીએ કે (મશીન~$M$ મુજબ) સંરૂપણ $\tuple{C, m, q}$ \emph{એક પગલામાં સંરૂપણ $\tuple{C', m', q'}$ આપે છે}, ત્યારે અને ત્યારે જ જ્યારે \begin{enumerate} \item $C$નું $m$-મું પ્રતીક $\",reader/turing-machines.html,cmp:tur:con:sec,verified_html_section_anchor_near_exact_source_segment
